language,k,n,rate,ci_low,ci_high,volume
Ruby,939,1196,0.7851170568561873,0.7609453203539299,0.807463109765102,1196
C#,4020,5145,0.7813411078717201,0.7698391674699967,0.7924232411035776,5145
Scheme,9495,13194,0.7196452933151433,0.7119179013144664,0.7272448222327451,13194
Rust,2058,2974,0.6919973100201748,0.6751661684671726,0.7083330929247562,2974
Go,2791,4048,0.6894762845849802,0.6750483336057446,0.7035449592439903,4048
TypeScript,8423,12313,0.6840737431982458,0.6758061402685978,0.692226525829714,12313
JavaScript,1229,2024,0.6072134387351779,0.5857534387995013,0.6282672372805685,2024
Java,1510,2657,0.5683101242002259,0.5493913504031595,0.5870316592416484,2657
C++,714,1363,0.5238444607483492,0.49730061540922094,0.55025427808668,1363
Python,5154,12319,0.41837811510674566,0.4096939363653363,0.4271131826160958,12319
