treatment,k_days,n_pr_included,n_pr_coactive,pr_share,pr_share_ci_low,pr_share_ci_high,n_repos_snapshot,n_repos_included,n_repos_ge2,n_repos_with_pair,repo_share_all,repo_share_all_ci_low,repo_share_all_ci_high,repo_share_ge2,n_pairs,n_cross_pairs,cross_pair_share,n_both_merged_pairs,n_censored_in_snapshot
B,0.0,65745,41049,0.6243668720054757,0.6206578586150285,0.6280613528138462,6673,5851,3318,2175,0.3259403566611719,0.3147970910404025,0.3372839094855104,0.6555153707052441,260392.0,4699.0,0.018045869304740544,98909.0,5932
B,0.5,65745,58223,0.8855882576621796,0.8831325511932382,0.8879989071725287,6673,5851,3318,2764,0.4142065038213697,0.40244050105033546,0.4260712275773745,0.8330319469559976,,,,,5932
B,1.0,65745,59094,0.8988364134154688,0.8965080698129958,0.9011181519789987,6673,5851,3318,2823,0.4230481043009141,0.41124205264902364,0.4349427030720751,0.8508137432188065,3703720.0,7566.0,0.002042811011631549,2992011.0,5932
B,1.5,65745,59500,0.9050117879686668,0.9027468750677593,0.9072293742225684,6673,5851,3318,2845,0.4263449722763375,0.41452498340430705,0.4382497146228012,0.8574442435201929,,,,,5932
B,2.0,65745,59809,0.9097117651532436,0.9074970538585153,0.9118786005968004,6673,5851,3318,2876,0.4309905589689795,0.41915184502921266,0.44290868079272694,0.866787221217601,,,,,5932
B,2.5,65745,60038,0.9131949197657616,0.9110185632180328,0.915322993446934,6673,5851,3318,2900,0.43458714221489586,0.42273466309778013,0.44651489069435163,0.8740204942736588,,,,,5932
B,3.0,65745,60237,0.9162217659137577,0.9140795811665167,0.91831531409985,6673,5851,3318,2912,0.43638543383785405,0.4245263109165858,0.44831775686064196,0.8776371308016878,8702558.0,11932.0,0.001371091120564781,7089338.0,5932
B,3.5,65745,60380,0.9183968362613126,0.9162797131376482,0.9204650686613826,6673,5851,3318,2922,0.4378840101903192,0.42601947214728364,0.4498200239508574,0.8806509945750453,,,,,5932
B,4.0,65745,60514,0.920435014069511,0.9183417748432929,0.9224791244059269,6673,5851,3318,2930,0.43908287127229134,0.4272140804902937,0.4510217582645782,0.8830620855937311,,,,,5932
B,4.5,65745,60609,0.9218799908738307,0.9198039260523916,0.9239067579562903,6673,5851,3318,2941,0.440731305260003,0.428856782017063,0.45267402789081346,0.8863773357444243,,,,,5932
B,5.0,65745,60744,0.9239333789641798,0.9218820762352278,0.925935144010585,6673,5851,3318,2952,0.4423797392477147,0.4304996166199353,0.45432616444094587,0.8896925858951176,,,,,5932
B,5.5,65745,60840,0.9253935660506503,0.9233601340475477,0.9273772897446688,6673,5851,3318,2965,0.44432788850591937,0.43244131977977107,0.45627851809829745,0.8936106088004823,,,,,5932
B,6.0,65745,60943,0.9269602251121758,0.9249462167909485,0.928924342056264,6673,5851,3318,2974,0.445676607223138,0.43378568443547133,0.45763003893141924,0.8963230861965039,,,,,5932
B,6.5,65745,61026,0.9282226785306867,0.9262245156040467,0.9301708025593274,6673,5851,3318,2986,0.4474748988460962,0.4355783087324233,0.4594319286195633,0.8999397227245328,,,,,5932
B,7.0,65745,61118,0.9296220244885542,0.9276416322175063,0.931552214344505,6673,5851,3318,2995,0.44882361756331485,0.43692288042160893,0.4607832424191997,0.9026522001205546,16810115.0,19741.0,0.0011743524657624293,13625166.0,5932
B,7.5,65745,61201,0.9308844779070652,0.928920309509049,0.9327982963691241,6673,5851,3318,3003,0.450022478645287,0.43811812964053565,0.4619843358570037,0.9050632911392406,,,,,5932
B,8.0,65745,61270,0.9319339873754658,0.9299834481192761,0.9338340540578749,6673,5851,3318,3008,0.45077176682151954,0.43886519592957823,0.46273498372841776,0.9065702230259193,,,,,5932
B,8.5,65745,61321,0.9327097117651533,0.9307693307198407,0.9345995295913375,6673,5851,3318,3011,0.4512213397272591,0.4393134488144222,0.4631853593398478,0.9074743821579264,,,,,5932
B,9.0,65745,61352,0.933181230511826,0.9312470597167866,0.9350647829895844,6673,5851,3318,3015,0.4518207702682452,0.43991113461875797,0.4637858448638774,0.9086799276672695,,,,,5932
B,9.5,65745,61406,0.9340025857479656,0.9320792981112095,0.9358751590900137,6673,5851,3318,3022,0.4528697737149708,0.4409571268099724,0.4648366524973024,0.9107896323086196,,,,,5932
B,10.0,65745,61453,0.9347174690090502,0.9328037222436403,0.9365804179438433,6673,5851,3318,3030,0.4540686347969429,0.44215261192829225,0.46603751003571325,0.9132007233273056,,,,,5932
B,10.5,65745,61500,0.9354323522701347,0.9335282111454949,0.937285612028249,6673,5851,3318,3035,0.45481792297317547,0.44289982557084656,0.4667880105536156,0.9147076552139843,,,,,5932
B,11.0,65745,61558,0.9363145486348772,0.9344223520540652,0.9381557607622976,6673,5851,3318,3041,0.45571706878465457,0.4437965179119573,0.4676885752050528,0.9165159734779988,,,,,5932
B,11.5,65745,61603,0.9369990113316602,0.9351161523101585,0.938830805918581,6673,5851,3318,3050,0.4570657875018732,0.4451416299591111,0.46903934864672103,0.9192284508740205,,,,,5932
B,12.0,65745,61653,0.9377595254391969,0.9358871147095391,0.9395807828662861,6673,5851,3318,3058,0.45826464858384536,0.44633735914756945,0.4702399621149934,0.9216395418927065,,,,,5932
B,12.5,65745,61690,0.9383223058787741,0.9364576772564045,0.9401357154362638,6673,5851,3318,3061,0.4587142214895849,0.4467857755484957,0.47069017421034115,0.9225437010247137,,,,,5932
B,13.0,65745,61740,0.9390828199863107,0.9372287768717815,0.940885555167972,6673,5851,3318,3069,0.459913082571557,0.4479816004755355,0.47189069194003197,0.9249547920433996,,,,,5932
B,13.5,65745,61777,0.9396456004258879,0.9377994424966458,0.9414403846599511,6673,5851,3318,3071,0.46021279784205005,0.44828056758061946,0.47219081049913075,0.9255575647980712,,,,,5932
