treatment,k_days,n_pr_included,n_pr_coactive,pr_share,pr_share_ci_low,pr_share_ci_high,n_repos_snapshot,n_repos_included,n_repos_ge2,n_repos_with_pair,repo_share_all,repo_share_all_ci_low,repo_share_all_ci_high,repo_share_ge2,n_pairs,n_cross_pairs,cross_pair_share,n_both_merged_pairs,n_censored_in_snapshot
A,0.0,71677,55214,0.7703168380373062,0.7672230612148176,0.7733816416786568,6673,6673,3793,2727,0.4086617713172486,0.3969228816182611,0.4205057622220694,0.7189559715264962,1666362,10928,0.006557998802181038,98909,5932
A,1.0,71677,65284,0.9108082090489278,0.908699557689783,0.9128728290382909,6673,6673,3793,3325,0.4982766371946651,0.4862845693040006,0.510270688126949,0.87661481676773,5170466,13972,0.0027022709365074637,2992011,5932
A,3.0,71677,66206,0.9236714706251656,0.9217048456108566,0.9255926855556981,6673,6673,3793,3414,0.511613966731605,0.49961738807692907,0.5235971814101493,0.9000790930661745,10262521,18605,0.0018129073743186493,7089338,5932
A,7.0,71677,66928,0.9337444368486404,0.931900203842012,0.9355421801277782,6673,6673,3793,3489,0.5228532893750937,0.5108595370447224,0.5348207448492064,0.9198523596098075,18542096,27043,0.001458465105563039,13625166,5932
B,0.0,65745,41049,0.6243668720054757,0.6206578586150285,0.6280613528138462,6673,5851,3318,2175,0.3259403566611719,0.3147970910404025,0.3372839094855104,0.6555153707052441,260392,4699,0.018045869304740544,98909,5932
B,1.0,65745,59094,0.8988364134154688,0.8965080698129958,0.9011181519789987,6673,5851,3318,2823,0.4230481043009141,0.41124205264902364,0.4349427030720751,0.8508137432188065,3703720,7566,0.002042811011631549,2992011,5932
B,3.0,65745,60237,0.9162217659137577,0.9140795811665167,0.91831531409985,6673,5851,3318,2912,0.43638543383785405,0.4245263109165858,0.44831775686064196,0.8776371308016878,8702558,11932,0.001371091120564781,7089338,5932
B,7.0,65745,61118,0.9296220244885542,0.9276416322175063,0.931552214344505,6673,5851,3318,2995,0.44882361756331485,0.43692288042160893,0.4607832424191997,0.9026522001205546,16810115,19741,0.0011743524657624293,13625166,5932
C,0.0,71677,45306,0.6320856062614227,0.6285482508595764,0.6356088044238467,6673,6673,3793,2495,0.3738947999400569,0.36236170487869973,0.38557300191644067,0.6577906670181914,279209,5524,0.019784462535233464,98909,5932
C,1.0,71677,63928,0.8918900065571941,0.8895957209708194,0.8941422884702916,6673,6673,3793,3197,0.47909485988311107,0.4671242379940627,0.49108953692919594,0.8428684418665964,3845950,8739,0.0022722604298027796,2992011,5932
C,3.0,71677,65248,0.9103059558854305,0.9081920424937996,0.9123758917399304,6673,6673,3793,3310,0.49602877266596734,0.48403830493255734,0.5080238100170222,0.8726601634590034,9036111,13564,0.001501088244710584,7089338,5932
C,7.0,71677,66310,0.9251224242086025,0.923172771498767,0.9270265113181153,6673,6673,3793,3412,0.511314251461112,0.4993176804642927,0.5232978033586033,0.8995518059583443,17482680,22357,0.0012788085121960707,13625166,5932
