prA,prB,agentA,agentB,userA,userB,startA,endA,startB,endB,stateA,stateB,cross,overlap_seconds,repo_id,repo,stratum,draw_index,sample,pair_key
241,242,Devin,Devin,devin-ai-integration[bot],devin-ai-integration[bot],1752946118.0,1752962244.0,1752946515.0,1752953015.0,merged,merged,False,6500.0,417313751,brevdev/brev-cli,same,0,s1_intra,brevdev/brev-cli#241#242
241,243,Devin,Devin,devin-ai-integration[bot],devin-ai-integration[bot],1752946118.0,1752962244.0,1752953537.0,1752972194.0,merged,merged,False,8707.0,417313751,brevdev/brev-cli,same,1,s1_intra,brevdev/brev-cli#241#243
1167,1202,Copilot,Copilot,Copilot,Copilot,1759507543.0,1760132827.0,1759655295.0,1759736471.0,closed_unmerged,merged,False,81176.0,974445592,microsoft/agent-framework,same,10,s1_intra,microsoft/agent-framework#1167#1202
1167,1205,Copilot,Copilot,Copilot,Copilot,1759507543.0,1760132827.0,1759665710.0,1759863518.0,closed_unmerged,merged,False,197808.0,974445592,microsoft/agent-framework,same,11,s1_intra,microsoft/agent-framework#1167#1205
1167,1402,Copilot,Copilot,Copilot,Copilot,1759507543.0,1760132827.0,1760132805.0,1761444554.0,closed_unmerged,closed_unmerged,False,22.0,974445592,microsoft/agent-framework,same,15,s1_intra,microsoft/agent-framework#1167#1402
1205,1256,Copilot,Copilot,Copilot,Copilot,1759665710.0,1759863518.0,1759834697.0,1759839253.0,merged,closed_unmerged,False,4556.0,974445592,microsoft/agent-framework,same,17,s1_intra,microsoft/agent-framework#1205#1256
1402,1610,Copilot,Copilot,Copilot,Copilot,1760132805.0,1761444554.0,1761085150.0,1761157293.0,closed_unmerged,merged,False,72143.0,974445592,microsoft/agent-framework,same,23,s1_intra,microsoft/agent-framework#1402#1610
11,14,Copilot,Copilot,Copilot,Copilot,1761210797.0,1761261703.0,1761241720.0,1761372887.0,merged,closed_unmerged,False,19983.0,1048065319,thedotmack/claude-mem,same,0,s1_intra,thedotmack/claude-mem#11#14
11,16,Copilot,Copilot,Copilot,Copilot,1761210797.0,1761261703.0,1761254205.0,1761264745.0,merged,merged,False,7498.0,1048065319,thedotmack/claude-mem,same,1,s1_intra,thedotmack/claude-mem#11#16
14,16,Copilot,Copilot,Copilot,Copilot,1761241720.0,1761372887.0,1761254205.0,1761264745.0,closed_unmerged,merged,False,10540.0,1048065319,thedotmack/claude-mem,same,2,s1_intra,thedotmack/claude-mem#14#16
24527,24528,Copilot,Copilot,Copilot,Copilot,1751497860.0,1751964668.0,1751517663.0,1751529245.0,closed_unmerged,closed_unmerged,False,11582.0,18987413,wso2/product-is,same,0,s1_intra,wso2/product-is#24527#24528
10,11,Copilot,Copilot,Copilot,Copilot,1752528675.0,1752569303.0,1752529748.0,1752571634.0,merged,merged,False,39555.0,141349191,markets/mini_i18n,same,0,s1_intra,markets/mini_i18n#10#11
13,14,Copilot,Copilot,Copilot,Copilot,1756152184.0,1756167162.0,1756161265.0,1756166968.0,merged,merged,False,5703.0,141349191,markets/mini_i18n,same,1,s1_intra,markets/mini_i18n#13#14
13,15,Copilot,Copilot,Copilot,Copilot,1756152184.0,1756167162.0,1756164993.0,1756167088.0,merged,merged,False,2095.0,141349191,markets/mini_i18n,same,2,s1_intra,markets/mini_i18n#13#15
14,15,Copilot,Copilot,Copilot,Copilot,1756161265.0,1756166968.0,1756164993.0,1756167088.0,merged,merged,False,1975.0,141349191,markets/mini_i18n,same,3,s1_intra,markets/mini_i18n#14#15
7813,7825,Cursor,Cursor,marcklingen,jannikmaierhoefer,1752180818.0,1754239945.0,1752241564.0,1754373966.0,merged,closed_unmerged,False,1998381.0,642497346,langfuse/langfuse,same,7,s1_intra,langfuse/langfuse#7813#7825
8866,9024,Cursor,Cursor,leoweigand,marcklingen,1756814262.0,1758037710.0,1757446186.0,1757449688.0,closed_unmerged,merged,False,3502.0,642497346,langfuse/langfuse,same,26,s1_intra,langfuse/langfuse#8866#9024
8866,9045,Cursor,Cursor,leoweigand,maxdeichmann,1756814262.0,1758037710.0,1757498610.0,1757867437.0,closed_unmerged,merged,False,368827.0,642497346,langfuse/langfuse,same,28,s1_intra,langfuse/langfuse#8866#9045
8866,9140,Cursor,Cursor,leoweigand,marcklingen,1756814262.0,1758037710.0,1757941040.0,1759235456.0,closed_unmerged,closed_unmerged,False,96670.0,642497346,langfuse/langfuse,same,29,s1_intra,langfuse/langfuse#8866#9140
9440,9551,Cursor,Cursor,maxdeichmann,FroeMic,1759249101.0,1759844962.0,1759768404.0,1759913764.0,closed_unmerged,merged,False,76558.0,642497346,langfuse/langfuse,same,47,s1_intra,langfuse/langfuse#9440#9551
350,351,Copilot,Copilot,Copilot,Copilot,1754288089.0,1754290149.0,1754288197.0,1754288925.0,merged,closed_unmerged,False,728.0,733836243,posva/pinia-colada,same,0,s1_intra,posva/pinia-colada#350#351
762,763,Copilot,Copilot,Copilot,Copilot,1759927570.0,1760297020.0,1759927588.0,1760290601.0,merged,merged,False,363013.0,622134207,k8sgpt-ai/k8sgpt-operator,same,0,s1_intra,k8sgpt-ai/k8sgpt-operator#762#763
26,27,OpenAI_Codex,OpenAI_Codex,cpetersen,cpetersen,1752680979.0,1752722195.0,1752681003.0,1752681107.0,merged,merged,False,104.0,677673846,scientist-labs/red-candle,same,0,s1_intra,scientist-labs/red-candle#26#27
