prA,prB,agentA,agentB,userA,userB,startA,endA,startB,endB,stateA,stateB,cross,overlap_seconds,repo_id,repo,stratum,draw_index
241,242,Devin,Devin,devin-ai-integration[bot],devin-ai-integration[bot],1752946118.0,1752962244.0,1752946515.0,1752953015.0,merged,merged,False,6500.0,417313751,brevdev/brev-cli,same,0
1402,1534,Copilot,Copilot,Copilot,Copilot,1760132805.0,1761444554.0,1760663556.0,1760723189.0,closed_unmerged,merged,False,59633.0,974445592,microsoft/agent-framework,same,20
11,16,Copilot,Copilot,Copilot,Copilot,1761210797.0,1761261703.0,1761254205.0,1761264745.0,merged,merged,False,7498.0,1048065319,thedotmack/claude-mem,same,1
24527,24528,Copilot,Copilot,Copilot,Copilot,1751497860.0,1751964668.0,1751517663.0,1751529245.0,closed_unmerged,closed_unmerged,False,11582.0,18987413,wso2/product-is,same,0
13,14,Copilot,Copilot,Copilot,Copilot,1756152184.0,1756167162.0,1756161265.0,1756166968.0,merged,merged,False,5703.0,141349191,markets/mini_i18n,same,1
8866,9009,Cursor,Cursor,leoweigand,marcklingen,1756814262.0,1758037710.0,1757407347.0,1757438276.0,closed_unmerged,merged,False,30929.0,642497346,langfuse/langfuse,same,25
350,351,Copilot,Copilot,Copilot,Copilot,1754288089.0,1754290149.0,1754288197.0,1754288925.0,merged,closed_unmerged,False,728.0,733836243,posva/pinia-colada,same,0
762,763,Copilot,Copilot,Copilot,Copilot,1759927570.0,1760297020.0,1759927588.0,1760290601.0,merged,merged,False,363013.0,622134207,k8sgpt-ai/k8sgpt-operator,same,0
27,28,OpenAI_Codex,OpenAI_Codex,cpetersen,cpetersen,1752681003.0,1752681107.0,1752681035.0,1752681072.0,merged,merged,False,37.0,677673846,scientist-labs/red-candle,same,2
779,802,Copilot,Copilot,Copilot,Copilot,1758028829.0,1758789731.0,1758316523.0,1759951381.0,merged,merged,False,473208.0,946174307,modelcontextprotocol/csharp-sdk,same,2
109,110,Claude_Code,Claude_Code,michaeloboyle,michaeloboyle,1758061785.0,1758226013.0,1758225968.0,1760049568.0,closed_unmerged,closed_unmerged,False,45.0,931506474,splx-ai/agentic-radar,same,0
3139,3144,Copilot,Copilot,Copilot,Copilot,1760855068.0,1760939594.0,1760857019.0,1761111776.0,merged,closed_unmerged,False,82575.0,404144554,chaiNNer-org/chaiNNer,same,67
502,503,OpenAI_Codex,OpenAI_Codex,PotatoOfDoom,PotatoOfDoom,1749225780.0,1749229893.0,1749225821.0,1749229879.0,merged,merged,False,4058.0,728625849,optiscaler/OptiScaler,same,0
14506,14536,Copilot,Copilot,Copilot,Copilot,1758189895.0,1758708018.0,1758646481.0,1760420331.0,merged,merged,False,61537.0,175425051,kumahq/kuma,same,0
2884,2929,OpenAI_Codex,OpenAI_Codex,mtrezza,mtrezza,1752075876.0,1753370522.0,1752959759.0,1752960501.0,closed_unmerged,merged,False,742.0,50623416,parse-community/parse-dashboard,same,30
34,35,Copilot,Copilot,Copilot,Copilot,1754740363.0,1754807017.0,1754740572.0,1754807031.0,closed_unmerged,closed_unmerged,False,66445.0,212054478,pine-vm/pine,same,1
