prA,prB,agentA,agentB,userA,userB,startA,endA,startB,endB,stateA,stateB,cross,overlap_seconds,repo_id,repo,stratum,draw_index
265,270,Copilot,Google_Jules,Copilot,google-labs-jules[bot],1757861239.0,1757998324.0,1757881050.0,1757933294.0,merged,closed_unmerged,True,52244.0,996430110,Ayush0Chaudhary/blurr,cross,2
267,275,Copilot,Google_Jules,Copilot,google-labs-jules[bot],1752888067.0,1755038795.0,1754121731.0,1754124955.0,merged,merged,True,3224.0,768813127,nandyalu/trailarr,cross,1
18,20,Google_Jules,OpenAI_Codex,google-labs-jules[bot],EdwardTang,1757600666.0,1757639232.0,1757632683.0,1757745047.0,closed_unmerged,closed_unmerged,True,6549.0,1045839248,good-night-oppie/helios,cross,1
10,12,Google_Jules,Copilot,google-labs-jules[bot],Copilot,1752174578.0,1752258912.0,1752254002.0,1752257603.0,closed_unmerged,merged,True,3601.0,1011570102,jlucaso1/whatsapp-rust,cross,0
1688,1713,OpenAI_Codex,Google_Jules,panarch,google-labs-jules[bot],1754107661.0,1755416728.0,1754534848.0,1754535489.0,merged,merged,True,641.0,227265548,gluesql/gluesql,cross,1
3106,3107,OpenAI_Codex,Copilot,julien-c,Copilot,1748012349.0,1749026081.0,1748022911.0,1749025267.0,closed_unmerged,closed_unmerged,True,1002356.0,323591830,huggingface/huggingface_hub,cross,0
307,311,OpenAI_Codex,Google_Jules,afadil,google-labs-jules[bot],1750367788.0,1751031368.0,1751027747.0,1751031569.0,merged,merged,True,3621.0,806618581,afadil/wealthfolio,cross,1
328,346,Google_Jules,Copilot,google-labs-jules[bot],Copilot,1751232735.0,1758409805.0,1757103174.0,1757103912.0,closed_unmerged,merged,True,738.0,72041948,kelleyma49/PSFzf,cross,5
187,194,Google_Jules,OpenAI_Codex,google-labs-jules[bot],Fannon,1757301722.0,1759657040.0,1759652729.0,1759653125.0,closed_unmerged,closed_unmerged,True,396.0,389284278,Fannon/search-bookmarks-history-and-tabs,cross,1
135,136,Google_Jules,Copilot,google-labs-jules[bot],Copilot,1755782571.0,1755884523.0,1755870377.0,1755884507.0,closed_unmerged,closed_unmerged,True,14130.0,352128360,kuelumbus/rdkit-pypi,cross,0
596,597,Copilot,Google_Jules,Copilot,google-labs-jules[bot],1760010993.0,1760115034.0,1760012353.0,1760115012.0,closed_unmerged,merged,True,102659.0,24946991,carlossg/docker-maven,cross,0
133,137,Google_Jules,OpenAI_Codex,google-labs-jules[bot],vinhnx,1759417424.0,1759487747.0,1759482424.0,1759487611.0,closed_unmerged,merged,True,5187.0,1046809510,vinhnx/vtcode,cross,4
5640,5641,Google_Jules,Copilot,google-labs-jules[bot],Copilot,1754776586.0,1754919566.0,1754821755.0,1754919563.0,closed_unmerged,closed_unmerged,True,97808.0,64546309,Dart-Code/Dart-Code,cross,0
269,270,Copilot,Google_Jules,Copilot,google-labs-jules[bot],1751259598.0,1757908691.0,1754709422.0,1754762663.0,closed_unmerged,closed_unmerged,True,53241.0,193254970,gelisam/klister,cross,0
36,53,OpenAI_Codex,Copilot,desaxce,Copilot,1753382978.0,1760015594.0,1760015544.0,1760370263.0,closed_unmerged,merged,True,50.0,971551940,project-numina/kimina-lean-server,cross,0
3459,3471,OpenAI_Codex,Copilot,six7,Copilot,1752561991.0,1755089934.0,1753356994.0,1753862726.0,merged,closed_unmerged,True,505732.0,265001214,tokens-studio/figma-plugin,cross,122
36050,36366,Copilot,OpenAI_Codex,Copilot,mxschmitt,1747930389.0,1751359089.0,1750401245.0,1750404237.0,closed_unmerged,merged,True,2992.0,221981891,microsoft/playwright,cross,0
16031,16078,Copilot,Claude_Code,Copilot,CamSoper,1758207077.0,1758912120.0,1758746311.0,1760456190.0,closed_unmerged,closed_unmerged,True,165809.0,104365663,pulumi/docs,cross,1
42988,43269,OpenAI_Codex,Copilot,adamh-oai,Copilot,1757701995.0,1760134900.0,1759803111.0,1759984290.0,closed_unmerged,merged,True,181179.0,4127088,Azure/azure-sdk-for-python,cross,4
2422,2425,Cursor,OpenAI_Codex,bobzhang,bobzhang,1752056140.0,1753089927.0,1752141045.0,1752141495.0,closed_unmerged,merged,True,450.0,749681472,moonbitlang/core,cross,6
157,158,Copilot,OpenAI_Codex,Copilot,estruyf,1750159726.0,1750175178.0,1750173836.0,1750175165.0,closed_unmerged,merged,True,1329.0,726072067,estruyf/vscode-demo-time,cross,4
2046,2092,OpenAI_Codex,Copilot,liamsi,Copilot,1750539816.0,1756741661.0,1751275921.0,1751284095.0,closed_unmerged,closed_unmerged,True,8174.0,221931137,celestiaorg/celestia-core,cross,11
38920,39163,OpenAI_Codex,Copilot,webjunkie,Copilot,1759321810.0,1760542853.0,1759750795.0,1760442319.0,closed_unmerged,closed_unmerged,True,691524.0,235901813,PostHog/posthog,cross,2
2066,2088,Copilot,OpenAI_Codex,Copilot,DonKoko,1758883044.0,1760347259.0,1759485022.0,1759486993.0,merged,merged,True,1971.0,600113513,Shelf-nu/shelf.nu,cross,38
3473,3483,Copilot,OpenAI_Codex,Copilot,Rockyy174,1758556358.0,1758631681.0,1758626041.0,1758819282.0,merged,closed_unmerged,True,5640.0,607729034,operately/operately,cross,28
1146,1198,Copilot,Claude_Code,Copilot,gubatron,1758828511.0,1761415903.0,1760020121.0,1760021527.0,closed_unmerged,merged,True,1406.0,45490972,frostwire/frostwire,cross,0
252571,252589,Copilot,OpenAI_Codex,Copilot,lalomorales22,1750983784.0,1756311231.0,1751001249.0,1751001332.0,closed_unmerged,closed_unmerged,True,83.0,41881900,microsoft/vscode,cross,10
342,343,Copilot,OpenAI_Codex,Copilot,alexrodl,1749823192.0,1751906473.0,1749846512.0,1749847830.0,closed_unmerged,closed_unmerged,True,1318.0,898171798,microsoft/fabric-cicd,cross,0
4617,5546,Copilot,Claude_Code,Copilot,snomiao,1753930557.0,1760982590.0,1757813545.0,1757817250.0,closed_unmerged,closed_unmerged,True,3705.0,814403270,Comfy-Org/ComfyUI_frontend,cross,7
18255,18256,Claude_Code,Copilot,alkispoly-db,Copilot,1760159645.0,1760309436.0,1760160766.0,1760170087.0,merged,merged,True,9321.0,136202695,mlflow/mlflow,cross,62
20,36,Copilot,OpenAI_Codex,Copilot,aavetis,1749398723.0,1750769269.0,1750468608.0,1750769172.0,closed_unmerged,closed_unmerged,True,300564.0,988545158,aavetis/PRarena,cross,0
1521,1524,Claude_Code,Copilot,github-actions[bot],Copilot,1760161157.0,1760194440.0,1760162366.0,1760163543.0,merged,merged,True,1177.0,1036865607,githubnext/gh-aw,cross,5
1605,1610,Copilot,OpenAI_Codex,Copilot,clairernovotny,1759968775.0,1759980555.0,1759978183.0,1759979380.0,merged,merged,True,1197.0,4213474,Humanizr/Humanizer,cross,0
14380,14397,Copilot,Claude_Code,Copilot,Boshen,1759761197.0,1759823907.0,1759806531.0,1759810466.0,merged,merged,True,3935.0,599431918,oxc-project/oxc,cross,27
254,297,Copilot,OpenAI_Codex,Copilot,machinewrapped,1754851000.0,1756826381.0,1756394650.0,1756394675.0,closed_unmerged,merged,True,25.0,617799085,machinewrapped/llm-subtrans,cross,1
967,1029,Copilot,Claude_Code,Copilot,xerial,1748897702.0,1753925627.0,1750735588.0,1750737470.0,closed_unmerged,merged,True,1882.0,846769747,wvlet/wvlet,cross,3
705,706,Copilot,OpenAI_Codex,Copilot,pardeike,1755766382.0,1755784778.0,1755771302.0,1755785543.0,closed_unmerged,merged,True,13476.0,78002587,pardeike/Harmony,cross,0
23257,23300,Copilot,OpenAI_Codex,Copilot,WoosukKwon,1755696002.0,1757450858.0,1755741624.0,1757966795.0,closed_unmerged,closed_unmerged,True,1709234.0,599547518,vllm-project/vllm,cross,8
11336,11453,Copilot,Claude_Code,Copilot,h-a-n-a,1754622587.0,1755848538.0,1755770461.0,1755773023.0,merged,merged,True,2562.0,476642602,web-infra-dev/rspack,cross,0
4719,4875,OpenAI_Codex,Copilot,saracarl,Copilot,1750799334.0,1757360485.0,1756913306.0,1760046659.0,closed_unmerged,merged,True,447179.0,509028,benwbrum/fromthepage,cross,34
1963,1964,Copilot,OpenAI_Codex,Copilot,lavrton,1755974185.0,1755984809.0,1755974590.0,1755976840.0,closed_unmerged,closed_unmerged,True,2250.0,29011477,konvajs/konva,cross,0
909,945,Claude_Code,OpenAI_Codex,satococoa,toyamarinyon,1747814265.0,1748411360.0,1747990275.0,1748224580.0,closed_unmerged,closed_unmerged,True,234305.0,845317529,giselles-ai/giselle,cross,20
102,104,Copilot,OpenAI_Codex,Copilot,gtg922r,1748492394.0,1748677199.0,1748670974.0,1748671238.0,merged,merged,True,264.0,552234230,gtg922r/obsidian-numerals,cross,1
22554,22655,Cursor,Copilot,xxchan,Copilot,1752128152.0,1752828649.0,1752762979.0,1752828981.0,merged,merged,True,65670.0,453068084,risingwavelabs/risingwave,cross,4
8022,8026,OpenAI_Codex,Copilot,AlexeyGirin,Copilot,1759816137.0,1759856217.0,1759817526.0,1759856644.0,merged,merged,True,38691.0,102537698,epam/ketcher,cross,2
7,21,Copilot,Claude_Code,Copilot,alexx-ftw,1752411349.0,1754912514.0,1753973596.0,1754606844.0,closed_unmerged,closed_unmerged,True,633248.0,1010478967,jamubc/gemini-mcp-tool,cross,0
1041,1046,Copilot,OpenAI_Codex,Copilot,chezsmithy,1757809286.0,1759442246.0,1757968198.0,1758233375.0,closed_unmerged,closed_unmerged,True,265177.0,999686447,microsoft/vscode-copilot-chat,cross,1
852,853,Cursor,Copilot,lukekarrys,Copilot,1749662456.0,1749687245.0,1749666697.0,1750099742.0,merged,merged,True,20548.0,780660899,vltpkg/vltpkg,cross,3
32077,32105,Copilot,OpenAI_Codex,Copilot,cbwinslow,1752706413.0,1753119613.0,1752874348.0,1752875750.0,closed_unmerged,closed_unmerged,True,1402.0,552661142,langchain-ai/langchain,cross,0
1137,1245,Copilot,OpenAI_Codex,Copilot,mosch,1749126077.0,1751283022.0,1750429808.0,1750859303.0,merged,closed_unmerged,True,429495.0,843437350,zuplo/zudoku,cross,10
1364,1379,Copilot,OpenAI_Codex,Copilot,lupino3,1749027814.0,1752654090.0,1751290177.0,1751290264.0,merged,merged,True,87.0,2327138,EduMIPS64/edumips64,cross,1
6855,6873,Copilot,OpenAI_Codex,Copilot,sfmskywalker,1755610360.0,1757668524.0,1755952721.0,1755954148.0,closed_unmerged,closed_unmerged,True,1427.0,151148482,elsa-workflows/elsa-core,cross,0
565,717,OpenAI_Codex,Copilot,richiemcilroy,Copilot,1747922264.0,1758982186.0,1751564208.0,1751565587.0,closed_unmerged,merged,True,1379.0,720209383,CapSoftware/Cap,cross,1
10998,11055,Cursor,Copilot,ntindle,Copilot,1758842528.0,1760993903.0,1759438106.0,1760534256.0,merged,merged,True,1096150.0,614765452,Significant-Gravitas/AutoGPT,cross,61
301,352,Copilot,OpenAI_Codex,Copilot,hardfist,1756133889.0,1758196276.0,1757391545.0,1757485744.0,closed_unmerged,closed_unmerged,True,94199.0,1019382196,web-infra-dev/rslint,cross,5
337,338,Copilot,Cursor,Copilot,kentcdodds,1757542638.0,1758170001.0,1757974722.0,1757980939.0,closed_unmerged,merged,True,6217.0,593184777,epicweb-dev/epicshop,cross,85
882,884,Copilot,Cursor,Copilot,l1b0k,1757062823.0,1758542249.0,1757172695.0,1758542283.0,closed_unmerged,closed_unmerged,True,1369554.0,142563999,AliyunContainerService/terway,cross,5
32369,32545,Copilot,Cursor,Copilot,yannbf,1756803230.0,1759734943.0,1758719871.0,1758789696.0,closed_unmerged,closed_unmerged,True,69825.0,54173593,storybookjs/storybook,cross,2
175,222,Copilot,Claude_Code,Copilot,domdomegg,1752185942.0,1754656937.0,1754479583.0,1754492708.0,merged,merged,True,13125.0,927890076,modelcontextprotocol/registry,cross,0
15359,15436,Cursor,Copilot,ishaan-jaff,Copilot,1759986626.0,1760226960.0,1760143217.0,1760230238.0,closed_unmerged,merged,True,83743.0,671269505,BerriAI/litellm,cross,19
909,912,Cursor,Copilot,YunaiV,Copilot,1753859900.0,1754098206.0,1753946284.0,1754098201.0,closed_unmerged,closed_unmerged,True,151917.0,332357698,YunaiV/ruoyi-vue-pro,cross,5
149696,150313,Copilot,Claude_Code,Copilot,ryansdwilson,1753902112.0,1759701914.0,1754712720.0,1754712753.0,closed_unmerged,closed_unmerged,True,33.0,12888993,home-assistant/core,cross,0
6538,6588,Copilot,Claude_Code,Copilot,Brooooooklyn,1760504711.0,1761008845.0,1760665661.0,1760667031.0,merged,closed_unmerged,True,1370.0,693187866,rolldown/rolldown,cross,1
2207,2521,OpenAI_Codex,Copilot,vitarb,Copilot,1749680264.0,1758057081.0,1755661447.0,1755680756.0,closed_unmerged,closed_unmerged,True,19309.0,775743011,valkey-io/valkey,cross,0
68678,68752,Claude_Code,Cursor,Julesssss,neil-marcellini,1755537572.0,1755619768.0,1755612996.0,1755614571.0,merged,closed_unmerged,True,1575.0,285902689,Expensify/App,cross,0
