prA,prB,agentA,agentB,userA,userB,startA,endA,startB,endB,stateA,stateB,cross,overlap_seconds,repo_id,repo,stratum,draw_index
257,270,Copilot,Google_Jules,Copilot,google-labs-jules[bot],1757799808.0,1758029886.0,1757881050.0,1757933294.0,closed_unmerged,closed_unmerged,True,52244.0,996430110,Ayush0Chaudhary/blurr,cross,0
257,276,Copilot,Google_Jules,Copilot,google-labs-jules[bot],1757799808.0,1758029886.0,1757933223.0,1757946211.0,closed_unmerged,merged,True,12988.0,996430110,Ayush0Chaudhary/blurr,cross,1
265,270,Copilot,Google_Jules,Copilot,google-labs-jules[bot],1757861239.0,1757998324.0,1757881050.0,1757933294.0,merged,closed_unmerged,True,52244.0,996430110,Ayush0Chaudhary/blurr,cross,2
265,276,Copilot,Google_Jules,Copilot,google-labs-jules[bot],1757861239.0,1757998324.0,1757933223.0,1757946211.0,merged,merged,True,12988.0,996430110,Ayush0Chaudhary/blurr,cross,3
259,275,Copilot,Google_Jules,Copilot,google-labs-jules[bot],1752592613.0,1754718751.0,1754121731.0,1754124955.0,merged,merged,True,3224.0,768813127,nandyalu/trailarr,cross,0
267,275,Copilot,Google_Jules,Copilot,google-labs-jules[bot],1752888067.0,1755038795.0,1754121731.0,1754124955.0,merged,merged,True,3224.0,768813127,nandyalu/trailarr,cross,1
18,19,Google_Jules,OpenAI_Codex,google-labs-jules[bot],EdwardTang,1757600666.0,1757639232.0,1757631863.0,1757632153.0,closed_unmerged,merged,True,290.0,1045839248,good-night-oppie/helios,cross,0
18,20,Google_Jules,OpenAI_Codex,google-labs-jules[bot],EdwardTang,1757600666.0,1757639232.0,1757632683.0,1757745047.0,closed_unmerged,closed_unmerged,True,6549.0,1045839248,good-night-oppie/helios,cross,1
18,21,Google_Jules,OpenAI_Codex,google-labs-jules[bot],EdwardTang,1757600666.0,1757639232.0,1757636224.0,1757745024.0,closed_unmerged,merged,True,3008.0,1045839248,good-night-oppie/helios,cross,2
33,36,Copilot,Google_Jules,Copilot,google-labs-jules[bot],1752936863.0,1755135739.0,1753027519.0,1755135752.0,closed_unmerged,closed_unmerged,True,2108220.0,1011570102,jlucaso1/whatsapp-rust,cross,4
36,38,Google_Jules,Copilot,google-labs-jules[bot],Copilot,1753027519.0,1755135752.0,1753029844.0,1753056432.0,closed_unmerged,merged,True,26588.0,1011570102,jlucaso1/whatsapp-rust,cross,6
36,44,Google_Jules,Copilot,google-labs-jules[bot],Copilot,1753027519.0,1755135752.0,1755116239.0,1755117141.0,closed_unmerged,closed_unmerged,True,902.0,1011570102,jlucaso1/whatsapp-rust,cross,9
36,46,Google_Jules,Copilot,google-labs-jules[bot],Copilot,1753027519.0,1755135752.0,1755135242.0,1755136262.0,closed_unmerged,merged,True,510.0,1011570102,jlucaso1/whatsapp-rust,cross,11
36,51,Google_Jules,Copilot,google-labs-jules[bot],Copilot,1753027519.0,1755135752.0,1755135474.0,1755136373.0,closed_unmerged,merged,True,278.0,1011570102,jlucaso1/whatsapp-rust,cross,16
1635,1713,OpenAI_Codex,Google_Jules,panarch,google-labs-jules[bot],1749876911.0,1758441561.0,1754534848.0,1754535489.0,closed_unmerged,merged,True,641.0,227265548,gluesql/gluesql,cross,0
1688,1713,OpenAI_Codex,Google_Jules,panarch,google-labs-jules[bot],1754107661.0,1755416728.0,1754534848.0,1754535489.0,merged,merged,True,641.0,227265548,gluesql/gluesql,cross,1
1709,1713,OpenAI_Codex,Google_Jules,panarch,google-labs-jules[bot],1754371353.0,1754807001.0,1754534848.0,1754535489.0,merged,merged,True,641.0,227265548,gluesql/gluesql,cross,2
3106,3107,OpenAI_Codex,Copilot,julien-c,Copilot,1748012349.0,1749026081.0,1748022911.0,1749025267.0,closed_unmerged,closed_unmerged,True,1002356.0,323591830,huggingface/huggingface_hub,cross,0
