prA,prB,agentA,agentB,userA,userB,startA,endA,startB,endB,stateA,stateB,cross,overlap_seconds,repo_id,repo,stratum,draw_index
216,228,Copilot,Copilot,Copilot,Copilot,1757613046.0,1757700860.0,1757697700.0,1757701087.0,merged,merged,False,3160.0,996430110,Ayush0Chaudhary/blurr,same,2
294,296,Google_Jules,Google_Jules,google-labs-jules[bot],google-labs-jules[bot],1758050023.0,1758052444.0,1758051329.0,1758054313.0,merged,merged,False,1115.0,996430110,Ayush0Chaudhary/blurr,same,21
295,296,Google_Jules,Google_Jules,google-labs-jules[bot],google-labs-jules[bot],1758050559.0,1758053070.0,1758051329.0,1758054313.0,merged,merged,False,1741.0,996430110,Ayush0Chaudhary/blurr,same,25
296,300,Google_Jules,Google_Jules,google-labs-jules[bot],google-labs-jules[bot],1758051329.0,1758054313.0,1758052292.0,1758066127.0,merged,merged,False,2021.0,996430110,Ayush0Chaudhary/blurr,same,31
298,300,Google_Jules,Google_Jules,google-labs-jules[bot],google-labs-jules[bot],1758051538.0,1758057617.0,1758052292.0,1758066127.0,merged,merged,False,5325.0,996430110,Ayush0Chaudhary/blurr,same,33
259,263,Copilot,Copilot,Copilot,Copilot,1752592613.0,1754718751.0,1752781657.0,1752791842.0,merged,merged,False,10185.0,768813127,nandyalu/trailarr,same,1
259,265,Copilot,Copilot,Copilot,Copilot,1752592613.0,1754718751.0,1752794502.0,1752821722.0,merged,closed_unmerged,False,27220.0,768813127,nandyalu/trailarr,same,3
262,263,Copilot,Copilot,Copilot,Copilot,1752781236.0,1752792147.0,1752781657.0,1752791842.0,closed_unmerged,merged,False,10185.0,768813127,nandyalu/trailarr,same,6
267,274,Copilot,Copilot,Copilot,Copilot,1752888067.0,1755038795.0,1753945604.0,1754004360.0,merged,merged,False,58756.0,768813127,nandyalu/trailarr,same,7
283,284,Copilot,Copilot,Copilot,Copilot,1755124169.0,1755125313.0,1755125294.0,1755733671.0,closed_unmerged,merged,False,19.0,768813127,nandyalu/trailarr,same,9
20,21,OpenAI_Codex,OpenAI_Codex,EdwardTang,EdwardTang,1757632683.0,1757745047.0,1757636224.0,1757745024.0,closed_unmerged,merged,False,108800.0,1045839248,good-night-oppie/helios,same,0
29,46,Copilot,Copilot,Copilot,Copilot,1752600030.0,1755135728.0,1755135242.0,1755136262.0,closed_unmerged,merged,False,486.0,1011570102,jlucaso1/whatsapp-rust,same,10
33,35,Copilot,Copilot,Copilot,Copilot,1752936863.0,1755135739.0,1753026851.0,1753029803.0,closed_unmerged,merged,False,2952.0,1011570102,jlucaso1/whatsapp-rust,same,29
33,42,Copilot,Copilot,Copilot,Copilot,1752936863.0,1755135739.0,1755063584.0,1755064952.0,closed_unmerged,merged,False,1368.0,1011570102,jlucaso1/whatsapp-rust,same,32
40,48,Copilot,Copilot,Copilot,Copilot,1753136888.0,1755488799.0,1755135321.0,1755136717.0,closed_unmerged,merged,False,1396.0,1011570102,jlucaso1/whatsapp-rust,same,46
50,51,Copilot,Copilot,Copilot,Copilot,1755135437.0,1755137037.0,1755135474.0,1755136373.0,merged,merged,False,899.0,1011570102,jlucaso1/whatsapp-rust,same,71
1612,1613,OpenAI_Codex,OpenAI_Codex,panarch,panarch,1749372037.0,1749379464.0,1749378351.0,1749790372.0,merged,merged,False,1113.0,227265548,gluesql/gluesql,same,1
1635,1637,OpenAI_Codex,OpenAI_Codex,panarch,panarch,1749876911.0,1758441561.0,1749881078.0,1754492445.0,closed_unmerged,closed_unmerged,False,4611367.0,227265548,gluesql/gluesql,same,125
1635,1765,OpenAI_Codex,OpenAI_Codex,panarch,panarch,1749876911.0,1758441561.0,1757141635.0,1757141648.0,closed_unmerged,merged,False,13.0,227265548,gluesql/gluesql,same,190
1637,1641,OpenAI_Codex,OpenAI_Codex,panarch,panarch,1749881078.0,1754492445.0,1750141149.0,1750144531.0,closed_unmerged,merged,False,3382.0,227265548,gluesql/gluesql,same,206
1743,1759,OpenAI_Codex,OpenAI_Codex,panarch,panarch,1755414416.0,1758441524.0,1756626646.0,1756881365.0,closed_unmerged,merged,False,254719.0,227265548,gluesql/gluesql,same,402
3107,3108,Copilot,Copilot,Copilot,Copilot,1748022911.0,1749025267.0,1748022911.0,1748355351.0,closed_unmerged,closed_unmerged,False,332440.0,323591830,huggingface/huggingface_hub,same,0
3107,3109,Copilot,Copilot,Copilot,Copilot,1748022911.0,1749025267.0,1748022911.0,1761311846.0,closed_unmerged,closed_unmerged,False,1002356.0,323591830,huggingface/huggingface_hub,same,1
3108,3109,Copilot,Copilot,Copilot,Copilot,1748022911.0,1748355351.0,1748022911.0,1761311846.0,closed_unmerged,closed_unmerged,False,332440.0,323591830,huggingface/huggingface_hub,same,2
3109,3225,Copilot,Copilot,Copilot,Copilot,1748022911.0,1761311846.0,1752585054.0,1752771931.0,closed_unmerged,closed_unmerged,False,186877.0,323591830,huggingface/huggingface_hub,same,3
3109,3359,Copilot,Copilot,Copilot,Copilot,1748022911.0,1761311846.0,1757691954.0,1757931058.0,closed_unmerged,closed_unmerged,False,239104.0,323591830,huggingface/huggingface_hub,same,4
317,318,Google_Jules,Google_Jules,google-labs-jules[bot],google-labs-jules[bot],1751999995.0,1752001774.0,1752000096.0,1752001793.0,closed_unmerged,closed_unmerged,False,1678.0,806618581,afadil/wealthfolio,same,6
317,320,Google_Jules,Google_Jules,google-labs-jules[bot],google-labs-jules[bot],1751999995.0,1752001774.0,1752000644.0,1752001820.0,closed_unmerged,closed_unmerged,False,1130.0,806618581,afadil/wealthfolio,same,8
318,319,Google_Jules,Google_Jules,google-labs-jules[bot],google-labs-jules[bot],1752000096.0,1752001793.0,1752000578.0,1752419437.0,closed_unmerged,merged,False,1215.0,806618581,afadil/wealthfolio,same,9
318,320,Google_Jules,Google_Jules,google-labs-jules[bot],google-labs-jules[bot],1752000096.0,1752001793.0,1752000644.0,1752001820.0,closed_unmerged,closed_unmerged,False,1149.0,806618581,afadil/wealthfolio,same,10
319,320,Google_Jules,Google_Jules,google-labs-jules[bot],google-labs-jules[bot],1752000578.0,1752419437.0,1752000644.0,1752001820.0,merged,closed_unmerged,False,1176.0,806618581,afadil/wealthfolio,same,11
322,324,Google_Jules,Google_Jules,google-labs-jules[bot],google-labs-jules[bot],1751037025.0,1751039575.0,1751037858.0,1751039166.0,closed_unmerged,merged,False,1308.0,72041948,kelleyma49/PSFzf,same,1
326,328,Google_Jules,Google_Jules,google-labs-jules[bot],google-labs-jules[bot],1751231553.0,1758409828.0,1751232735.0,1758409805.0,closed_unmerged,closed_unmerged,False,7177070.0,72041948,kelleyma49/PSFzf,same,3
329,330,Google_Jules,Google_Jules,google-labs-jules[bot],google-labs-jules[bot],1751233726.0,1752886710.0,1751234264.0,1751381622.0,closed_unmerged,merged,False,147358.0,72041948,kelleyma49/PSFzf,same,18
332,336,Google_Jules,Google_Jules,google-labs-jules[bot],google-labs-jules[bot],1751384591.0,1752886683.0,1751559049.0,1751574815.0,closed_unmerged,closed_unmerged,False,15766.0,72041948,kelleyma49/PSFzf,same,26
333,336,Google_Jules,Google_Jules,google-labs-jules[bot],google-labs-jules[bot],1751385002.0,1752886662.0,1751559049.0,1751574815.0,closed_unmerged,closed_unmerged,False,15766.0,72041948,kelleyma49/PSFzf,same,29
193,195,OpenAI_Codex,OpenAI_Codex,Fannon,Fannon,1759652509.0,1759661449.0,1759652787.0,1759654003.0,closed_unmerged,merged,False,1216.0,389284278,Fannon/search-bookmarks-history-and-tabs,same,1
194,195,OpenAI_Codex,OpenAI_Codex,Fannon,Fannon,1759652729.0,1759653125.0,1759652787.0,1759654003.0,closed_unmerged,merged,False,338.0,389284278,Fannon/search-bookmarks-history-and-tabs,same,2
197,198,OpenAI_Codex,OpenAI_Codex,Fannon,Fannon,1759666389.0,1759666756.0,1759666582.0,1759899500.0,merged,merged,False,174.0,389284278,Fannon/search-bookmarks-history-and-tabs,same,3
233,234,OpenAI_Codex,OpenAI_Codex,Fannon,Fannon,1761156066.0,1761156349.0,1761156138.0,1761156475.0,merged,closed_unmerged,False,211.0,389284278,Fannon/search-bookmarks-history-and-tabs,same,4
234,235,OpenAI_Codex,OpenAI_Codex,Fannon,Fannon,1761156138.0,1761156475.0,1761156441.0,1761156677.0,closed_unmerged,merged,False,34.0,389284278,Fannon/search-bookmarks-history-and-tabs,same,5
30,35,OpenAI_Codex,OpenAI_Codex,vinhnx,vinhnx,1758391192.0,1758446116.0,1758436229.0,1758437445.0,closed_unmerged,merged,False,1216.0,1046809510,vinhnx/vtcode,same,65
111,128,OpenAI_Codex,OpenAI_Codex,vinhnx,vinhnx,1759242067.0,1759907677.0,1759386953.0,1759386992.0,closed_unmerged,merged,False,39.0,1046809510,vinhnx/vtcode,same,187
160,161,OpenAI_Codex,OpenAI_Codex,vinhnx,vinhnx,1759568201.0,1759568234.0,1759568217.0,1759575638.0,closed_unmerged,merged,False,17.0,1046809510,vinhnx/vtcode,same,274
206,207,OpenAI_Codex,OpenAI_Codex,vinhnx,vinhnx,1760153011.0,1760159185.0,1760153024.0,1760159185.0,closed_unmerged,closed_unmerged,False,6161.0,1046809510,vinhnx/vtcode,same,302
