prA,prB,agentA,agentB,userA,userB,startA,endA,startB,endB,stateA,stateB,cross,overlap_seconds,repo_id,repo,stratum,draw_index,match_role
295,299,Google_Jules,Google_Jules,google-labs-jules[bot],google-labs-jules[bot],1758050559.0,1758053070.0,1758052270.0,1758057897.0,merged,closed_unmerged,False,800.0,996430110,Ayush0Chaudhary/blurr,same,27,intra
262,263,Copilot,Copilot,Copilot,Copilot,1752781236.0,1752792147.0,1752781657.0,1752791842.0,closed_unmerged,merged,False,10185.0,768813127,nandyalu/trailarr,same,6,intra
20,21,OpenAI_Codex,OpenAI_Codex,EdwardTang,EdwardTang,1757632683.0,1757745047.0,1757636224.0,1757745024.0,closed_unmerged,merged,False,108800.0,1045839248,good-night-oppie/helios,same,0,intra
33,38,Copilot,Copilot,Copilot,Copilot,1752936863.0,1755135739.0,1753029844.0,1753056432.0,closed_unmerged,merged,False,26588.0,1011570102,jlucaso1/whatsapp-rust,same,30,intra
1614,1619,OpenAI_Codex,OpenAI_Codex,panarch,panarch,1749379401.0,1749797283.0,1749526708.0,1749798102.0,merged,merged,False,270575.0,227265548,gluesql/gluesql,same,19,intra
3108,3109,Copilot,Copilot,Copilot,Copilot,1748022911.0,1748355351.0,1748022911.0,1761311846.0,closed_unmerged,closed_unmerged,False,332440.0,323591830,huggingface/huggingface_hub,same,2,intra
306,307,OpenAI_Codex,OpenAI_Codex,afadil,afadil,1750366338.0,1751031338.0,1750367788.0,1751031368.0,merged,merged,False,663550.0,806618581,afadil/wealthfolio,same,0,intra
326,336,Google_Jules,Google_Jules,google-labs-jules[bot],google-labs-jules[bot],1751231553.0,1758409828.0,1751559049.0,1751574815.0,closed_unmerged,closed_unmerged,False,15766.0,72041948,kelleyma49/PSFzf,same,9,intra
234,235,OpenAI_Codex,OpenAI_Codex,Fannon,Fannon,1761156138.0,1761156475.0,1761156441.0,1761156677.0,closed_unmerged,merged,False,34.0,389284278,Fannon/search-bookmarks-history-and-tabs,same,5,intra
154,164,OpenAI_Codex,OpenAI_Codex,vinhnx,vinhnx,1759552252.0,1759907678.0,1759577189.0,1759583276.0,closed_unmerged,merged,False,6087.0,1046809510,vinhnx/vtcode,same,255,intra
20,51,OpenAI_Codex,OpenAI_Codex,desaxce,desaxce,1750079104.0,1760013906.0,1760001667.0,1760001736.0,closed_unmerged,closed_unmerged,False,69.0,971551940,project-numina/kimina-lean-server,same,3,intra
3614,3617,Copilot,Copilot,Copilot,Copilot,1759417861.0,1760077931.0,1759767948.0,1760077920.0,closed_unmerged,closed_unmerged,False,309972.0,265001214,tokens-studio/figma-plugin,same,519,intra
